,team,top_scorer,goals
0,Manchester United,Rooney,139
1,West Ham United,Cole,37
2,Birmingham City,Jerome,18
3,Aston Villa,Agbonlahor,58
4,Swansea City,Michu,20
5,Bolton Wanderers,Davies,68
6,West Bromwich Albion,Odemwingie,27
7,Cardiff City,Whittingham,7
8,Reading,Doyle,14
9,Liverpool,Gerrard,92
10,Burnley,Fletcher,8
11,Sunderland,Bent,29
12,Fulham,Dempsey,47
13,Everton,Cahill,49
14,Middlesboro,Viduka,24
15,Derby County,Christie,9
16,Leicester City,Dickov,12
17,Southampton,Beattie,48
18,Newcastle United,Shearer,74
19,Norwich City,Holt,22
20,Manchester City,Tevez,57
21,Ipswich Town,Bent,10
22,Hull City,Geovanni,9
23,Wigan Athletic,Camara,18
24,Queens Park Rangers,Helguson,8
25,Portsmouth,Ayegbeni,23
26,Blackburn Rovers,McCarthy,34
27,Chelsea,Lampard,135
28,Charlton Athletic,Euell,32
29,Wolverhampton,Fletcher,20
30,Tottenham Hotspur,Keane,89
31,Birmingham,Forssell,20
32,Leeds United,Viduka,40
33,Stoke City,Walters,26
34,Arsenal,Henry,132
35,Crystal Palace,Johnson,20
36,Blackpool,Campbell,12
37,Watford,Bouazza,5
38,Sheffield United,Hulse,7
